Target Distance: 50, Step Size: 2
265: (x,y) = (17.5143, 5.51614)
266: (x,y) = (16.3959, 3.85807)
267: (x,y) = (16.3959, 1.85807)
268: (x,y) = (14.8865, 0.545947)
269: (x,y) = (15.5045, 2.44806)
270: (x,y) = (13.5349, 2.79536)
271: (x,y) = (12.5349, 4.52741)
272: (x,y) = (14.5154, 4.24906)
273: (x,y) = (14.2026, 6.22444)
274: (x,y) = (15.1105, 4.44242)
275: (x,y) = (14.7977, 2.46705)
276: (x,y) = (16.7609, 2.84867)
277: (x,y) = (15.3716, 1.40999)
278: (x,y) = (15.6153, 3.39508)
279: (x,y) = (17.585, 3.04778)
280: (x,y) = (16.9669, 4.9499)
281: (x,y) = (15.1693, 4.07315)
282: (x,y) = (16.8654, 3.01331)
283: (x,y) = (14.9983, 2.29658)
284: (x,y) = (14.0593, 4.06247)
285: (x,y) = (15.3714, 2.55305)
286: (x,y) = (13.3717, 2.51815)
287: (x,y) = (13.5113, 4.51328)
288: (x,y) = (12.2257, 2.98119)
289: (x,y) = (13.0392, 4.80828)
290: (x,y) = (14.1575, 6.46636)
291: (x,y) = (13.6399, 8.39821)
292: (x,y) = (12.3543, 9.9303)
293: (x,y) = (10.7363, 8.75473)
294: (x,y) = (9.95484, 6.91372)
295: (x,y) = (8.895, 8.60981)
296: (x,y) = (10.1536, 10.1641)
297: (x,y) = (12.129, 10.477)
298: (x,y) = (13.97, 9.69551)
299: (x,y) = (14.6212, 7.80447)
300: (x,y) = (14.5514, 9.80325)
301: (x,y) = (15.9154, 8.34055)
302: (x,y) = (17.7947, 9.02459)
303: (x,y) = (19.209, 10.4388)
304: (x,y) = (20.991, 11.3468)
305: (x,y) = (22.7886, 12.2235)
306: (x,y) = (24.1007, 13.7329)
307: (x,y) = (24.9141, 11.9059)
308: (x,y) = (23.2961, 10.7303)
309: (x,y) = (24.8721, 9.49896)
310: (x,y) = (23.2961, 10.7303)
311: (x,y) = (21.3329, 11.1119)
312: (x,y) = (19.3332, 11.1468)
313: (x,y) = (20.4803, 12.7851)
314: (x,y) = (22.2124, 11.7851)
315: (x,y) = (21.6276, 9.8725)
316: (x,y) = (22.0775, 7.92376)
317: (x,y) = (20.8462, 6.34774)
318: (x,y) = (21.6597, 4.52065)
319: (x,y) = (19.6597, 4.52065)
320: (x,y) = (17.7372, 5.07192)
321: (x,y) = (16.8919, 3.25931)
322: (x,y) = (17.0314, 1.26418)
323: (x,y) = (16.6841, 3.23379)
324: (x,y) = (18.5251, 2.45233)
325: (x,y) = (16.9491, 1.22101)
326: (x,y) = (18.8897, 1.70485)
327: (x,y) = (20.2018, 0.195433)
328: (x,y) = (18.5245, 1.28471)
329: (x,y) = (20.3516, 2.09818)
330: (x,y) = (21.7409, 0.659505)
331: (x,y) = (20.9917, 2.51387)
332: (x,y) = (22.9142, 1.9626)
333: (x,y) = (24.9093, 2.10211)
334: (x,y) = (26.2733, 3.56482)
335: (x,y) = (25.7221, 1.64229)
336: (x,y) = (26.8692, 3.2806)
337: (x,y) = (28.3079, 4.66992)
338: (x,y) = (29.1846, 6.4675)
339: (x,y) = (30.5988, 7.88172)
340: (x,y) = (32.2372, 9.02887)
341: (x,y) = (30.6399, 10.2325)
342: (x,y) = (29.1305, 11.5446)
343: (x,y) = (27.9833, 9.90631)
344: (x,y) = (29.8377, 10.6555)
345: (x,y) = (28.6905, 12.2938)
346: (x,y) = (27.1362, 13.5525)
347: (x,y) = (28.5002, 12.0898)
348: (x,y) = (30.4228, 12.641)
349: (x,y) = (28.96, 11.277)
350: (x,y) = (30.5983, 10.1299)
351: (x,y) = (28.5987, 10.1648)
352: (x,y) = (27.5987, 8.43274)
353: (x,y) = (29.4257, 9.24622)
354: (x,y) = (28.1671, 7.69193)
355: (x,y) = (28.3066, 5.6968)
356: (x,y) = (30.1042, 6.57354)
357: (x,y) = (32.0993, 6.43403)
358: (x,y) = (32.3084, 8.42307)
359: (x,y) = (34.221, 7.83833)
360: (x,y) = (33.8052, 5.88203)
361: (x,y) = (32.0559, 6.85165)
362: (x,y) = (30.0635, 7.02596)
363: (x,y) = (30.877, 8.85305)
364: (x,y) = (30.9468, 6.85427)
365: (x,y) = (30.6685, 8.83481)
366: (x,y) = (28.7366, 8.31717)
367: (x,y) = (29.1865, 10.2659)
368: (x,y) = (27.1868, 10.231)
369: (x,y) = (26.9431, 12.2161)
370: (x,y) = (27.4269, 14.1567)
371: (x,y) = (27.5664, 12.1616)
372: (x,y) = (29.3157, 13.1312)
373: (x,y) = (27.5498, 14.0701)
374: (x,y) = (28.0336, 16.0107)
375: (x,y) = (27.9638, 18.0095)
376: (x,y) = (26.2677, 16.9497)
377: (x,y) = (28.0948, 16.1362)
378: (x,y) = (26.2038, 15.485)
379: (x,y) = (28.1525, 15.935)
380: (x,y) = (28.966, 14.1079)
381: (x,y) = (27.602, 15.5706)
382: (x,y) = (27.1182, 13.63)
383: (x,y) = (27.0833, 15.6297)
384: (x,y) = (29.0723, 15.4206)
385: (x,y) = (30.4616, 13.9819)
386: (x,y) = (31.2431, 12.1409)
387: (x,y) = (29.625, 13.3165)
388: (x,y) = (27.893, 14.3165)
389: (x,y) = (25.8942, 14.2467)
390: (x,y) = (26.5454, 12.3557)
391: (x,y) = (26.1295, 10.3994)
392: (x,y) = (24.9259, 8.80209)
393: (x,y) = (26.2642, 10.2884)
394: (x,y) = (26.2991, 12.2881)
395: (x,y) = (24.3503, 11.8382)
396: (x,y) = (26.2175, 12.5549)
397: (x,y) = (26.5304, 14.5303)
398: (x,y) = (26.0127, 16.4621)
399: (x,y) = (24.0176, 16.6017)
400: (x,y) = (23.9478, 18.6004)
401: (x,y) = (24.8867, 16.8345)
402: (x,y) = (26.8718, 17.0783)
403: (x,y) = (28.8351, 16.6967)
404: (x,y) = (27.6879, 18.335)
405: (x,y) = (28.6269, 20.1009)
406: (x,y) = (30.6266, 20.066)
407: (x,y) = (30.0085, 18.1638)
408: (x,y) = (28.2109, 17.2871)
409: (x,y) = (28.2458, 19.2868)
410: (x,y) = (28.0021, 21.2719)
411: (x,y) = (26.0458, 21.6877)
412: (x,y) = (27.0458, 23.4198)
413: (x,y) = (25.0486, 23.5244)
414: (x,y) = (25.6333, 25.437)
415: (x,y) = (23.6482, 25.1933)
416: (x,y) = (25.6479, 25.2282)
417: (x,y) = (26.4294, 27.0692)
418: (x,y) = (28.0874, 25.9508)
419: (x,y) = (29.3996, 27.4603)
420: (x,y) = (31.3968, 27.3556)
421: (x,y) = (32.544, 25.7173)
422: (x,y) = (30.9897, 26.9759)
423: (x,y) = (32.8168, 26.1624)
424: (x,y) = (31.0509, 25.2235)
425: (x,y) = (31.5008, 23.2748)
426: (x,y) = (30.3252, 24.8928)
427: (x,y) = (29.6741, 23.0018)
428: (x,y) = (28.0358, 21.8546)
429: (x,y) = (26.1232, 22.4393)
430: (x,y) = (24.5259, 23.643)
431: (x,y) = (25.6443, 25.3011)
432: (x,y) = (23.9299, 26.3311)
433: (x,y) = (22.1323, 25.4544)
434: (x,y) = (24.132, 25.4195)
435: (x,y) = (23.2241, 27.2015)
436: (x,y) = (24.6627, 28.5908)
437: (x,y) = (25.5395, 26.7932)
438: (x,y) = (27.3371, 25.9165)
439: (x,y) = (28.9951, 27.0349)
440: (x,y) = (27.8768, 28.6929)
441: (x,y) = (29.8086, 29.2106)
442: (x,y) = (31.8037, 29.0711)
443: (x,y) = (29.9627, 28.2896)
444: (x,y) = (27.9874, 28.6025)
445: (x,y) = (25.9877, 28.6374)
446: (x,y) = (24.0244, 28.2558)
447: (x,y) = (23.7115, 26.2804)
448: (x,y) = (25.3088, 27.484)
449: (x,y) = (23.3283, 27.7624)
450: (x,y) = (24.8377, 29.0745)
451: (x,y) = (26.476, 30.2216)
452: (x,y) = (27.6516, 31.8397)
453: (x,y) = (26.5332, 30.1816)
454: (x,y) = (26.8805, 28.212)
455: (x,y) = (28.6931, 29.0572)
456: (x,y) = (29.2444, 27.1347)
457: (x,y) = (27.855, 28.5734)
458: (x,y) = (25.8627, 28.7477)
459: (x,y) = (25.8976, 30.7474)
460: (x,y) = (24.0566, 31.5288)
461: (x,y) = (22.1003, 31.9447)
462: (x,y) = (24.0893, 32.1537)
463: (x,y) = (22.1088, 32.4321)
464: (x,y) = (22.954, 30.6194)
465: (x,y) = (22.9191, 28.6198)
466: (x,y) = (23.6031, 30.4991)
467: (x,y) = (21.6806, 29.9479)
468: (x,y) = (23.3949, 28.9178)
469: (x,y) = (21.4253, 28.5705)
470: (x,y) = (20.6761, 30.4249)
471: (x,y) = (19.4725, 32.0221)
472: (x,y) = (21.2217, 32.9917)
473: (x,y) = (19.4897, 31.9917)
474: (x,y) = (18.9384, 30.0692)
475: (x,y) = (20.7928, 30.8184)
476: (x,y) = (18.794, 30.8882)
477: (x,y) = (20.7427, 30.4383)
478: (x,y) = (21.9183, 28.8203)
479: (x,y) = (23.9034, 29.064)
480: (x,y) = (22.024, 28.38)
481: (x,y) = (22.5079, 26.4394)
482: (x,y) = (22.4032, 28.4367)
483: (x,y) = (20.9645, 27.0473)
484: (x,y) = (19.3885, 25.816)
485: (x,y) = (17.6065, 24.908)
486: (x,y) = (18.3232, 23.0409)
487: (x,y) = (16.7689, 24.2995)
488: (x,y) = (15.4306, 25.7858)
489: (x,y) = (14.3414, 27.4632)
490: (x,y) = (16.3386, 27.3585)
491: (x,y) = (18.2058, 26.6417)
492: (x,y) = (20.1812, 26.3289)
493: (x,y) = (20.7659, 24.4163)
494: (x,y) = (19.0339, 25.4163)
495: (x,y) = (17.0642, 25.069)
496: (x,y) = (18.0943, 26.7833)
497: (x,y) = (19.7904, 27.8431)
498: (x,y) = (20.5719, 29.6842)
499: (x,y) = (18.806, 28.7452)
500: (x,y) = (17.2966, 27.4331)
501: (x,y) = (15.6583, 28.5802)
502: (x,y) = (13.6829, 28.2674)
503: (x,y) = (15.6801, 28.3721)
504: (x,y) = (16.0618, 26.4088)
505: (x,y) = (14.1299, 25.8912)
506: (x,y) = (16.0425, 26.4759)
507: (x,y) = (16.6937, 24.5849)
508: (x,y) = (15.8802, 26.412)
509: (x,y) = (14.8203, 28.1081)
510: (x,y) = (12.8571, 28.4897)
511: (x,y) = (12.3058, 30.4122)
512: (x,y) = (10.4387, 31.1289)
513: (x,y) = (8.45356, 30.8852)
514: (x,y) = (8.10626, 28.9156)
515: (x,y) = (7.69044, 30.8719)
516: (x,y) = (5.92455, 31.8108)
517: (x,y) = (6.16828, 33.7959)
518: (x,y) = (4.6362, 35.0815)
519: (x,y) = (5.0861, 33.1327)
520: (x,y) = (5.36444, 35.1133)
521: (x,y) = (4.18887, 33.4952)
522: (x,y) = (4.77362, 31.5826)
523: (x,y) = (5.42475, 29.6916)
524: (x,y) = (7.42353, 29.6218)
525: (x,y) = (8.95562, 28.3362)
526: (x,y) = (10.6517, 27.2764)
527: (x,y) = (12.6468, 27.4159)
528: (x,y) = (14.4879, 26.6344)
529: (x,y) = (14.7662, 24.6539)
530: (x,y) = (15.7051, 26.4198)
531: (x,y) = (14.3158, 24.9811)
532: (x,y) = (12.4364, 25.6652)
533: (x,y) = (10.4801, 25.2493)
534: (x,y) = (12.3473, 25.9661)
535: (x,y) = (10.7713, 27.1974)
536: (x,y) = (9.95782, 29.0245)
537: (x,y) = (11.2699, 30.5339)
538: (x,y) = (11.5137, 32.519)
539: (x,y) = (12.9524, 31.1297)
540: (x,y) = (11.6668, 32.6618)
541: (x,y) = (13.5078, 33.4432)
542: (x,y) = (13.5078, 31.4432)
543: (x,y) = (14.4467, 33.2091)
544: (x,y) = (14.4118, 31.2094)
545: (x,y) = (12.9976, 29.7952)
546: (x,y) = (11.0125, 30.039)
547: (x,y) = (12.2981, 28.5069)
548: (x,y) = (14.2299, 27.9892)
549: (x,y) = (15.1379, 29.7712)
550: (x,y) = (13.4418, 28.7114)
551: (x,y) = (15.3981, 28.2956)
552: (x,y) = (16.3061, 30.0776)
553: (x,y) = (16.1318, 28.0852)
554: (x,y) = (14.5997, 29.3708)
555: (x,y) = (16.563, 29.7524)
556: (x,y) = (14.8309, 28.7524)
557: (x,y) = (15.6124, 30.5934)
558: (x,y) = (17.3444, 29.5934)
559: (x,y) = (15.7472, 30.797)
560: (x,y) = (13.752, 30.6575)
561: (x,y) = (11.8849, 31.3743)
562: (x,y) = (13.6975, 30.529)
563: (x,y) = (15.5996, 31.1471)
564: (x,y) = (17.5314, 30.6294)
565: (x,y) = (19.5238, 30.4551)
566: (x,y) = (17.5287, 30.5946)
567: (x,y) = (15.5314, 30.4899)
568: (x,y) = (14.1674, 31.9527)
569: (x,y) = (16.1626, 31.8131)
570: (x,y) = (17.8946, 32.8131)
571: (x,y) = (16.8348, 31.117)
572: (x,y) = (15.0222, 31.9623)
573: (x,y) = (13.4679, 30.7036)
574: (x,y) = (14.0859, 32.6058)
575: (x,y) = (15.9403, 31.8565)
576: (x,y) = (16.5583, 33.7587)
577: (x,y) = (14.5659, 33.933)
578: (x,y) = (16.098, 35.2185)
579: (x,y) = (14.6838, 36.6328)
580: (x,y) = (16.6401, 36.2169)
581: (x,y) = (18.5964, 35.8011)
582: (x,y) = (16.5964, 35.8011)
583: (x,y) = (16.3873, 37.7901)
584: (x,y) = (16.8372, 35.8414)
585: (x,y) = (14.9351, 36.4594)
586: (x,y) = (16.5932, 35.3411)
587: (x,y) = (18.4203, 36.1545)
588: (x,y) = (18.9716, 38.0771)
589: (x,y) = (20.2837, 39.5865)
590: (x,y) = (22.2825, 39.5167)
591: (x,y) = (23.7919, 38.2046)
592: (x,y) = (25.4692, 39.2938)
593: (x,y) = (25.4343, 41.2935)
594: (x,y) = (26.2478, 39.4664)
595: (x,y) = (24.2505, 39.3618)
596: (x,y) = (26.1731, 39.913)
597: (x,y) = (26.5889, 37.9567)
598: (x,y) = (24.5998, 38.1658)
599: (x,y) = (26.4269, 38.9793)
600: (x,y) = (24.4272, 38.9444)
601: (x,y) = (24.8771, 40.8931)
602: (x,y) = (26.8768, 40.928)
603: (x,y) = (25.9072, 39.1788)
604: (x,y) = (24.3978, 37.8667)
605: (x,y) = (23.2506, 39.505)
606: (x,y) = (22.047, 41.1022)
607: (x,y) = (21.0169, 39.3879)
608: (x,y) = (19.0218, 39.5274)
609: (x,y) = (20.9012, 38.8434)
610: (x,y) = (21.9313, 37.129)
611: (x,y) = (23.8945, 37.5107)
612: (x,y) = (21.9539, 37.0268)
613: (x,y) = (23.65, 38.0866)
614: (x,y) = (22.5902, 39.7827)
615: (x,y) = (22.9031, 37.8074)
616: (x,y) = (21.121, 36.8994)
617: (x,y) = (22.121, 38.6314)
618: (x,y) = (24.1162, 38.771)
619: (x,y) = (22.249, 38.0542)
620: (x,y) = (20.9904, 36.4999)
621: (x,y) = (22.803, 37.3452)
622: (x,y) = (22.6635, 35.35)
623: (x,y) = (21.3252, 36.8363)
624: (x,y) = (21.2205, 34.8391)
625: (x,y) = (21.3949, 32.8467)
626: (x,y) = (22.5985, 31.2494)
627: (x,y) = (23.0484, 29.3007)
628: (x,y) = (25.0481, 29.2658)
629: (x,y) = (26.8457, 28.389)
630: (x,y) = (27.6909, 26.5764)
631: (x,y) = (25.9089, 25.6684)
632: (x,y) = (27.605, 26.7283)
633: (x,y) = (25.7924, 27.5735)
634: (x,y) = (27.6718, 26.8895)
635: (x,y) = (26.7638, 25.1074)
636: (x,y) = (25.1665, 26.3111)
637: (x,y) = (23.8544, 24.8017)
638: (x,y) = (25.4724, 23.6261)
639: (x,y) = (27.0484, 24.8574)
640: (x,y) = (28.989, 25.3412)
641: (x,y) = (27.959, 27.0556)
642: (x,y) = (26.6207, 28.5419)
643: (x,y) = (26.4116, 30.5309)
644: (x,y) = (28.1937, 31.4389)
645: (x,y) = (30.1424, 31.8888)
646: (x,y) = (28.263, 32.5728)
647: (x,y) = (27.0044, 34.1271)
648: (x,y) = (28.208, 32.5299)
649: (x,y) = (27.4588, 30.6755)
650: (x,y) = (29.4512, 30.8498)
651: (x,y) = (28.0619, 32.2885)
652: (x,y) = (30.0372, 32.6014)
653: (x,y) = (28.948, 34.2787)
654: (x,y) = (30.0663, 32.6206)
655: (x,y) = (28.2253, 33.4021)
656: (x,y) = (27.0217, 34.9994)
657: (x,y) = (28.8761, 35.7486)
658: (x,y) = (26.974, 35.1305)
659: (x,y) = (28.9303, 34.7147)
660: (x,y) = (27.4208, 36.0268)
661: (x,y) = (26.0315, 37.4655)
662: (x,y) = (24.7194, 38.9749)
663: (x,y) = (25.923, 40.5722)
664: (x,y) = (24.5337, 42.0109)
665: (x,y) = (23.2481, 40.4788)
